title,rating,ratingLevel,ratingDescription,release_year,user_rating_score,user_rating_size
72,Hannah Montana: The Movie,G,General Audiences. Suitable for all ages.,35,2009,56.0,80
73,Friday Night Lights,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2010,81.0,80
74,StarStruck,TV-G,Suitable for all ages.,35,2010,,82
75,Mean Girls 2,PG-13,"For some rude and suggestive material, and for language.",80,2011,,82
76,That '70s Show,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2005,89.0,80
77,Heartland,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,85.0,80
78,Switched at Birth,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,83.0,80
79,Hart of Dixie,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,81.0,80
80,Safe Haven,PG-13,"thematic material involving threatening behavior, and for violence and sexuality",80,2013,62.0,80
81,The Night Shift,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,93.0,80
82,Reign,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,79.0,80
83,The Wedding Planner,PG-13,language and some sexual humor,80,2001,,82
84,Blow,R,"pervasive drug content and language, some violence and sexuality",100,2001,78.0,80
85,High School Musical,TV-G,Suitable for all ages.,35,2006,64.0,80
86,Law & Order: Special Victims Unit,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,97.0,80
87,Army Wives,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,61.0,80
88,Private Practice,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,88.0,80
89,Revenge,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,84.0,80
90,Magic Mike,R,"pervasive sexual content, brief graphic nudity, language and some drug use",100,2012,77.0,80
91,Trouble with the Curve,PG-13,Parents strongly cautioned. May be inappropriate for children under 13.,80,2012,63.0,80
92,Home,PG,mild action and some rude humor,60,2015,94.0,80
93,Lost,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2010,98.0,80
94,Weeds,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2012,85.0,80
95,The Tudors,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2010,,82
96,Lie to Me,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2010,89.0,80
97,Charmed,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2005,90.0,80
98,White Collar,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,93.0,80
99,The Killing,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,73.0,80
100,Unconditional,PG-13,some violent content and mature thematic elements,80,2012,,82
101,Witches of East End,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,,82
102,Marvel's Jessica Jones,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,83.0,80
103,Kurt Seyit & Sura,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,,82
104,The Returned,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,,82
105,The Girl in the Book,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,,82
106,Dexter,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2013,95.0,80
107,Leverage,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,86.0,80
108,Burn Notice,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,85.0,80
109,Luther,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,69.0,80
110,Last Man Standing,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,97.0,80
111,Touch,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,68.0,80
112,Breakout Kings,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2012,88.0,80
113,The Following,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,,82
114,"Drugs, Inc.",TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,,82
115,Crossing Lines,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,66.0,80
116,The Honorable Woman,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2014,,82
117,Transporter: The Series,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2014,,82
118,American Odyssey,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,,82
119,Aquarius,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2015,,82
120,Rosewood,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,81.0,80
121,The West Wing,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2005,79.0,80
122,Forensic Files,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2011,88.0,80
123,The Nightmare Before Christmas,PG,some scary images,60,1993,84.0,80
124,Scooby-Doo,PG,"some rude humor, language and some scary action",60,2002,86.0,80
125,Chicken Little,G,General Audiences. Suitable for all ages.,35,2005,92.0,80
126,Teenage Mutant Ninja Turtles,PG,"animated action violence, some scary cartoon images and mild language",60,2007,,82
127,Star Wars: The Clone Wars,PG,"sci-fi action violence throughout, brief language and momentary smoking",60,2008,57.0,80
128,The Smurfs and the Magic Flute,G,General Audiences. Suitable for all ages.,35,1976,,82
129,We're Back! A Dinosaur's Story,G,General Audiences. Suitable for all ages.,35,1993,,82
130,Thomas & Friends: Thomas & the Runaway Kite,TV-Y,Suitable for all ages.,10,2010,,82
131,Dino Squad,TV-Y7,Suitable for children ages 7 and older,41,2008,,82
132,Cars Toons: Mater's Tall Tales,TV-G,Suitable for all ages.,35,2010,74.0,80
133,LeapFrog: The Amazing Alphabet Amusement Park,TV-Y,Suitable for all ages.,10,2010,,82
134,Star Wars: The Clone Wars,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,93.0,80
135,Phineas and Ferb,TV-G,Suitable for all ages.,35,2012,89.0,80
136,The Batman,TV-Y7,Suitable for children ages 7 and older,41,2007,77.0,80
137,Justice League,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2003,66.0,80
138,Justice League Unlimited,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2005,,82
139,Mighty Morphin Power Rangers,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2010,73.0,80
140,Young Justice,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,71.0,80
141,The Super Mario Bros. Super Show!,TV-Y7,Suitable for children ages 7 and older,41,1989,,82
142,Power Rangers Zeo,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,1996,,82
143,Oscar's Oasis,TV-G,Suitable for all ages.,35,2011,,82
144,Transformers Prime,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2013,,82
145,The Adventures of Chuck & Friends,TV-Y,Suitable for all ages.,10,2011,,82
146,Thomas & Friends: King of the Railway,TV-G,Suitable for all ages.,35,2013,,82
147,LEGO: Marvel Super Heroes: Maximum Overload,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2013,,82
148,Max Steel,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2014,,82
149,Transformers Prime Beast Hunters: Predacons Rising,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2013,,82
150,Agent F.O.X.,PG,Parental guidance suggested. May not be suitable for children.,60,2014,,82
151,Thunder and the House Of Magic,TV-G,Suitable for all ages.,35,2013,,82
152,Marvel Super Hero Adventures: Frost Fight!,PG,fantasy action,60,2015,,82
153,Slugterra: Slug Fu Showdown,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2015,,82
154,Lego DC Comics: Batman Be-Leaguered,TV-Y7,Suitable for children ages 7 and older,41,2014,,82
155,Power Rangers Dino Charge,TV-Y7,Suitable for children ages 7 and older,41,2015,,82
156,Bunks,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2013,,82
157,The Furchester Hotel,TV-Y,Suitable for all ages.,10,2015,,82
158,Angry Birds,TV-G,Suitable for all ages.,35,2013,,82
159,Nexo Knights,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2015,,82
160,An Extremely Goofy Movie,G,General Audiences. Suitable for all ages.,35,1999,67.0,80
161,The Iron Giant,PG,fantasy action and mild language,60,1999,83.0,80
162,The Cat in the Hat Knows a Lot About That!,TV-Y,Suitable for all ages.,10,2014,,82
163,Bob the Builder,TV-Y,Suitable for all ages.,10,2015,,82
164,Beyblade: Metal Fusion,TV-Y7,Suitable for children ages 7 and older,41,2009,,82
165,Ninja Turtles: The Next Mutation,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,1997,,82
166,DreamWorks Kung Fu Panda Awesome Secrets,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2008,,82
167,LEGO Ninjago: Masters of Spinjitzu,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2015,67.0,80
168,Goosebumps,TV-Y7,Suitable for children ages 7 and older,41,1998,88.0,80
169,LEGO Ninjago: Masters of Spinjitzu: Way of the Ninja,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2011,,82
170,Super Buddies,G,General Audiences. Suitable for all ages.,35,2013,,82
171,Tad: The Lost Explorer,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,,82
172,PokÌ©mon: Indigo League,TV-Y,Suitable for all ages.,10,2000,74.0,80
173,Pac-Man and the Ghostly Adventures,TV-Y7,Suitable for children ages 7 and older,41,2014,,82
174,Iron Man & Captain America: Heroes United,PG,"action and violence throughout, and mild language",60,2014,,82
175,Power Rangers Super Megaforce,TV-Y7,Suitable for children ages 7 and older,41,2014,,82
176,Chuggington,TV-Y,Suitable for all ages.,10,2015,,82
177,Some Assembly Required,TV-G,Suitable for all ages.,35,2015,,82
178,Robocar Poli,TV-Y,Suitable for all ages.,10,2012,,82
179,PokÌ©mon: XY,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2015,56.0,80
180,The Deep,TV-Y7,Suitable for children ages 7 and older,41,2015,,82
181,The Little Rascals,PG,some rude dialogue,60,1994,86.0,80
182,Flubber,PG,slapstick action and mild language,60,1997,83.0,80
183,Tarzan,G,General Audiences. Suitable for all ages.,35,1999,95.0,80
184,The Emperor's New Groove,G,General Audiences. Suitable for all ages.,35,2000,95.0,80
185,Lilo & Stitch,PG,mild sci-fi action,60,2002,95.0,80
186,Scooby-Doo 2: Monsters Unleashed,PG,"some scary action, rude humor and language",60,2004,82.0,80
187,The Three Musketeers,G,General Audiences. Suitable for all ages.,35,2004,,82
188,Mickey's Twice Upon a Christmas,G,General Audiences. Suitable for all ages.,35,2004,,82
189,The Pacifier,PG,"action violence, language and rude humor",60,2005,91.0,80
190,Bee Movie,PG,mild suggestive humor,60,2007,94.0,80
191,Kung Fu Panda,PG,sequences of martial arts action,60,2008,91.0,80
192,Super Why!,TV-Y,Suitable for all ages.,10,2015,68.0,80
193,Jessie,TV-G,Suitable for all ages.,35,2015,88.0,80
194,Disney Animation Collection: Vol. 1: Mickey and the Beanstalk,TV-G,Suitable for all ages.,35,2009,,82
195,Pocoyo,TV-Y,Suitable for all ages.,10,2007,67.0,80
196,Octonauts,TV-Y,Suitable for all ages.,10,2015,,82
197,Little Einsteins,TV-Y,Suitable for all ages.,10,2007,70.0,80
198,Hotel Transylvania 2,PG,"some scary images, action and rude humor",60,2015,93.0,80
199,Goosebumps,PG,"scary and intense creature action and images, and for some rude humor",60,2015,90.0,80
200,Open Season: Scared Silly,PG,rude humor and some action,60,2015,72.0,80
201,Tayo the Little Bus,TV-Y,Suitable for all ages.,10,2014,,82
202,Antz,PG,moderate adult language and intense action,60,1998,80.0,80
203,Chicken Run,G,General Audiences. Suitable for all ages.,35,2000,80.0,80
204,Spy Kids 3: Game Over,PG,action sequences and peril,60,2003,64.0,80
205,Annie,PG,adult content and mld violence,60,1982,68.0,80
206,Mulan 2,G,General Audiences. Suitable for all ages.,35,2004,85.0,80
207,Lilo & Stitch 2: Stitch Has A Glitch,PG,some mild action,60,2005,85.0,80
208,DreamWorks Shrek's Swamp Stories,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2008,56.0,80
209,Beverly Hills Chihuahua 3: Viva La Fiesta!,G,General Audiences. Suitable for all ages.,35,2012,,82
210,DreamWorks Spooky Stories: Volume 2,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2011,,82
211,The Magic School Bus,TV-Y,Suitable for all ages.,10,1997,81.0,80
212,Sammy 2,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2012,,82
213,Sofia the First,TV-Y,Suitable for all ages.,10,2015,82.0,80
214,Barbie Life in the Dreamhouse,TV-G,Suitable for all ages.,35,2012,85.0,80
215,Paddington,PG,mild action and rude humor,60,2014,70.0,80
216,Larva,TV-G,Suitable for all ages.,35,2015,,82
217,Sid the Science Kid,TV-Y,Suitable for all ages.,10,2008,,82
218,Minions,PG,action and rude humor,60,2015,96.0,80
219,The Little Prince,PG,mild thematic elements,60,2015,71.0,80
220,Cool Runnings,PG,Parental guidance suggested. May not be suitable for children.,60,1993,81.0,80
221,Homeward Bound: The Incredible Journey,G,General Audiences. Suitable for all ages.,35,1993,96.0,80
222,Anastasia,G,General Audiences. Suitable for all ages.,35,1997,93.0,80
223,Missione Hamburger,PG,"language, some comic violence and mild sex-related humor",60,1997,75.0,80
224,Curious George,G,General Audiences. Suitable for all ages.,35,2006,55.0,80
225,Secret of the Wings,G,General Audiences. Suitable for all ages.,35,2012,65.0,80
226,Clifford the Big Red Dog,TV-Y,Suitable for all ages.,10,2002,,82
227,Walt Disney Animation Studios Short Films Collection,TV-G,Suitable for all ages.,35,2015,84.0,80
228,The Real Ghostbusters,TV-Y7,Suitable for children ages 7 and older,41,1990,65.0,80
229,Babe: Pig in the City,G,General Audiences. Suitable for all ages.,35,1998,,82
230,The Prince of Egypt,PG,intense scenes dealing with strong content,60,1998,81.0,80
231,Paulie,PG,Parental guidance suggested. May not be suitable for children.,60,1998,,82
232,The Road to El Dorado,PG,mild thematic material and language,60,2000,91.0,80
233,Fantasia 2000,G,General Audiences. Suitable for all ages.,35,2000,,82
234,Pocahontas II: Journey to a New World,TV-G,Suitable for all ages.,35,1998,64.0,80
235,Fantasia,G,General Audiences. Suitable for all ages.,35,1940,61.0,80
236,An American Tail,G,General Audiences. Suitable for all ages.,35,1986,67.0,80
237,Pooh's Grand Adventure: The Search for Christopher Robin,G,General Audiences. Suitable for all ages.,35,1997,,82
238,FernGully 2: The Magical Rescue,G,General Audiences. Suitable for all ages.,35,1998,,82
239,Balto 2: Wolf Quest,G,General Audiences. Suitable for all ages.,35,2001,,82
240,Balto,G,General Audiences. Suitable for all ages.,35,1995,64.0,80
241,Back to the Secret Garden,G,General Audiences. Suitable for all ages.,35,2002,,82
242,The Brave Little Toaster Goes to Mars,G,General Audiences. Suitable for all ages.,35,1998,,82
243,The Brave Little Toaster to the Rescue,G,General Audiences. Suitable for all ages.,35,1997,,82
244,An American Tail: The Mystery of the Night Monster,G,General Audiences. Suitable for all ages.,35,1999,,82
245,An American Tail: Fievel Goes West,G,General Audiences. Suitable for all ages.,35,1991,,82
246,The Last Unicorn,G,General Audiences. Suitable for all ages.,35,1982,,82
247,Brother Bear 2,G,General Audiences. Suitable for all ages.,35,2006,57.0,80
248,The Fox and the Hound 2,G,General Audiences. Suitable for all ages.,35,2006,,82
249,Jetsons: The Movie,G,General Audiences. Suitable for all ages.,35,1990,,82
250,A Monster in Paris,PG,"some action violence involving gunplay, and mild rude humor",60,2011,,82
251,The Gruffalo,TV-Y,Suitable for all ages.,10,2009,,82
252,DreamWorks How to Train Your Dragon Legends,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2011,,82
253,Ernest & Celestine,PG,some scary moments,60,2012,,82
254,Animaniacs,TV-Y7,Suitable for children ages 7 and older,41,1997,72.0,80
255,Disney Animation Collection: Vol. 4: The Tortoise and the Hare,TV-G,Suitable for all ages.,35,2009,,82
256,PopPixie,TV-G,Suitable for all ages.,35,2011,,82
257,Jack and the Cuckoo-Clock Heart,PG,"scary images, suggestive material, some language and smoking",60,2013,,82
258,The Pirate Fairy,G,General Audiences. Suitable for all ages.,35,2014,57.0,80
259,Axel: The Biggest Little Hero,PG,"some scary images, perilous action sequences and mild rude humor",60,2013,,82
260,The Adventures of Figaro Pho,TV-Y7,Suitable for children ages 7 and older,41,2015,,82
261,The Boxcar Children,G,General Audiences. Suitable for all ages.,35,2014,,82
262,Pet Pals in Windland,TV-G,Suitable for all ages.,35,2014,,82
263,Hatched,TV-Y7,Suitable for children ages 7 and older,41,2013,,82
264,Blinky Bill: The Movie,PG,some rude humor,60,2015,,82
265,FernGully: The Last Rainforest,G,General Audiences. Suitable for all ages.,35,1992,70.0,80
266,The Lizzie McGuire Movie,PG,mild thematic elements,60,2003,,82
267,Recess: Taking the Fifth Grade,G,General Audiences. Suitable for all ages.,35,2003,,82
268,The Very Hungry Caterpillar and Other Stories,TV-Y,Suitable for all ages.,10,1993,,82
269,The Hero of Color City,G,General Audiences. Suitable for all ages.,35,2014,,82
270,The Little Engine That Could,G,General Audiences. Suitable for all ages.,35,2011,,82
271,Delhi Safari,PG,"violence and menacing action, rude humor, suggestive content and thematic elements",60,2012,,82
272,Pound Puppies,TV-Y,Suitable for all ages.,10,2013,,82
273,Monster Math Squad,TV-G,Suitable for all ages.,35,2012,,82
274,Care Bears: Welcome to Care-a-Lot,TV-Y,Suitable for all ages.,10,2012,,82
275,Clifford's Puppy Days,TV-Y,Suitable for all ages.,10,2003,,82
276,Dinosaur King,TV-Y7-FV,Suitable for children ages 7 and older.  Content contains fantasy violence.,42,2008,,82
277,Ribbit,PG,some peril,60,2014,,82
278,Rooster Doodle-doo,TV-G,Suitable for all ages.,35,2014,,82
279,My Animal Friends,TV-Y,Suitable for all ages.,10,2013,,82
280,Worms,PG,Parental guidance suggested. May not be suitable for children.,60,2013,,82
281,Zoobabu,TV-Y,Suitable for all ages.,10,2010,,82
282,Gon,TV-G,Suitable for all ages.,35,2013,,82
283,Sid the Science Kid: The Movie,TV-Y,Suitable for all ages.,10,2012,,82
284,Harry and the Hendersons,PG,Parental guidance suggested. May not be suitable for children.,60,1987,58.0,80
285,Cats & Dogs,PG,animal action and humor,60,2001,,82
286,Atlantis: The Lost Empire,PG,action violence,60,2001,96.0,80
287,Tarzan & Jane,G,General Audiences. Suitable for all ages.,35,2002,,82
288,Atlantis: Milo's Return,G,General Audiences. Suitable for all ages.,35,2003,79.0,80
289,Batched,G,General Audiences. Suitable for all ages.,35,2000,,82
290,Winnie the Pooh: Springtime with Roo,G,General Audiences. Suitable for all ages.,35,2004,,82
291,Pooh's Heffalump Movie,G,General Audiences. Suitable for all ages.,35,2005,,82
292,Kronk's New Groove,G,General Audiences. Suitable for all ages.,35,2005,,82
293,Corpse Bride,PG,"some scary images and action, and brief mild language",60,2005,91.0,80
294,Disney Animation Collection: Vol. 2: Three Little Pigs,TV-G,Suitable for all ages.,35,2009,,82
295,Underdogs,PG,Parental guidance suggested. May not be suitable for children.,60,2013,,82
296,Yellowbird,PG,Parental guidance suggested. May not be suitable for children.,60,2014,,82
297,Mr. Magoo,PG,mild language and action sequences,60,1997,,82
298,Air Bud: World Pup,G,General Audiences. Suitable for all ages.,35,2000,,82
299,Baby's Day Out,PG,mild language and comic action,60,1994,71.0,80
300,Blank Check,PG,Parental guidance suggested. May not be suitable for children.,60,1994,93.0,80
301,Heavyweights,PG,some rude language and pranks,60,1995,74.0,80
302,Inspector Gadget 2,G,General Audiences. Suitable for all ages.,35,2003,,82
303,Air Bud: Spikes Back,G,General Audiences. Suitable for all ages.,35,2003,,82
304,D2: The Mighty Ducks,PG,some mild language and rough hockey action,60,1994,70.0,80
305,"Honey, I Shrunk the Kids",PG,Parental guidance suggested. May not be suitable for children.,60,1989,80.0,80
306,Air Buddies,PG,"some mild, rude humor",60,2006,,82
307,Dr. Dolittle: Tail to the Chief,PG,brief mild language and some rude behavior,60,2008,,82
308,Flicka 2,PG,some reckless behavior,60,2010,,82
309,H2O: Just Add Water,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2009,74.0,80
310,Dolphin Tale,PG,some mild thematic elements,60,2011,,82
311,Step Dogs,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2013,,82
312,Mia and Me,TV-Y,Suitable for all ages.,10,2015,,82
313,Russell Madness,PG,some rude humor and sports action,60,2015,,82
314,Wiener Dog Internationals,G,General Audiences. Suitable for all ages.,35,2015,,82
315,Precious Puppies,TV-G,Suitable for all ages.,35,2003,,82
316,Beary Tales,TV-G,Suitable for all ages.,35,2013,,82
